beneficiary_id,receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
BENE_13b993ae4b154744b7c9e9279f482fc1,GB80RASN41863673779354,Emma Williams,"Carpenter, Smith and Smith Bank",Chile,Low,0,False,2025-10-19 17:09:34.301611
BENE_a77966d434214738a7421e4d1a9ff9b3,GB46YJTD24128048957831,Alexa Chen,Vargas-Berry Bank,Tuvalu,Low,1,False,2024-10-30 17:09:34.302613
BENE_ee2ac4c76eae4a07b04e39bf0f3b8438,GB58PKEZ65822806420433,Brandy Wright,Calhoun-Taylor Bank,Sierra Leone,High,0,False,2025-02-01 17:09:34.302613
BENE_eb27f22c2f2c4163a7aab4b309cb69c6,GB43BNSR83520078687203,Thomas Salinas,Mcconnell Inc Bank,France,High,1,False,2025-08-06 17:09:34.302613
BENE_49863e7aea9742edb74b866a576d6519,GB39KCTR22167263250325,David Ward,Washington Group Bank,Grenada,Low,0,False,2025-08-12 17:09:34.302613
BENE_20fd354c0b7640ee859f1b5a7604dea7,GB35NUZT97939828025626,Andrew Lawrence,Perez Group Bank,Equatorial Guinea,Low,0,False,2024-07-12 17:09:34.303611
BENE_73d2ebdb938b4ecfb5518d92b8ae8881,GB12KZKQ17424416586344,Christopher Johnston,"Le, Rodgers and Wright Bank",Honduras,Low,1,False,2023-11-16 17:09:34.303611
BENE_c68c0d924db643498b3d325ab6c64c5f,GB52JIGB14387636476439,Christopher Morrison,Rivera LLC Bank,Bahrain,Medium,0,False,2025-01-03 17:09:34.303611
BENE_518cbe5dc41740c69a17377b143a4566,GB77XFGV33641909370305,Diana Hart,Miller Inc Bank,North Macedonia,High,0,False,2025-12-08 17:09:34.303611
BENE_ae25275d03a74df997eee9591362b3be,GB82TKDM97816864720817,Dr. Annette Nichols,Taylor and Sons Bank,United States of America,Low,0,False,2025-08-18 17:09:34.304612
BENE_9f007381cc414f62b005b04617556c9e,GB69PJEG28128318445694,Anna Burgess,Chan PLC Bank,Maldives,Low,0,False,2024-11-24 17:09:34.304612
BENE_e2a913932ef1435fb650702b14ee9d24,GB24OWVW10714217181520,Beth Gray,"Miranda, Campbell and Cain Bank",New Caledonia,Low,0,False,2023-09-21 17:09:34.304612
BENE_cc05e5b2d5064c91adb7441866914f57,GB55EDQA35306825753365,Kayla Gibson,"Payne, Underwood and Barrett Bank",Jamaica,Low,0,False,2025-10-08 17:09:34.305612
BENE_8885ada53f1943dba97b44b6294e2d2f,GB42TACD42747999637602,Jason Horton,Carroll-Holt Bank,Bouvet Island (Bouvetoya),Medium,1,False,2025-02-07 17:09:34.305612
BENE_d727b12690a94bca99eb14abe4ef55fb,GB36TTBR57443049156087,Bonnie Hernandez,Cook LLC Bank,Maldives,Low,1,False,2024-01-20 17:09:34.306128
BENE_f0842738f42b42cca275a7f5961db7da,GB92YCUB45242784819285,William Baker,"Gomez, Bridges and Clayton Bank",South Africa,Medium,0,False,2024-10-17 17:09:34.306128
BENE_241f07da8877480b9200ab85ba7d7bec,GB75SOFZ92779954202594,David Quinn,"Bell, Owens and Martin Bank",Nicaragua,Low,1,False,2025-01-05 17:09:34.306128
BENE_48a8c73f875941e79e6c911d8c37c1ad,GB12SZOK32424942096257,Garrett Hays,Kidd-Singh Bank,Palau,Low,0,False,2025-07-31 17:09:34.307136
BENE_2b77a37222244b80bfea98791474e1bb,GB59GUUY15986667469196,Scott King,Gonzalez-Porter Bank,Belgium,Low,0,False,2025-11-27 17:09:34.307136
BENE_51e578e0a47046b79e82c5381e2929b3,GB80MELQ42023424422991,Brandi Hicks,Martinez-Delacruz Bank,Reunion,Medium,0,False,2023-11-20 17:09:34.307136
BENE_2825d1af80fd4977b63d2beadac5cedb,GB81EUEE24930459818150,Taylor Oneal,"Phillips, Bender and Alvarez Bank",Luxembourg,Medium,0,False,2024-03-16 17:09:34.307136
BENE_02a4ac9c30df4c66befb6cca6d30c028,GB91CRKP24872398579420,Danielle Hughes,Russell Inc Bank,Palau,Medium,0,False,2024-12-17 17:09:34.308141
BENE_9dc3d27a12604087b5c2cfa564023233,GB83BBNL38167528977789,Kenneth Garcia,"Mitchell, Davis and Brown Bank",Timor-Leste,Low,0,False,2025-12-28 17:09:34.308755
BENE_59f94a0ef62c4ac099832901dcf5f70a,GB33YIOU03414247993956,Ebony West,Ray Group Bank,Iceland,High,0,False,2025-05-21 17:09:34.308755
BENE_c3cdaf739d1e45a5b307b43572c79893,GB54ISKR33909143318753,Erin Gomez,Kennedy-Martin Bank,Puerto Rico,Medium,0,False,2023-11-27 17:09:34.308755
BENE_a4f63d0a96d44346be615f86a286c3ab,GB82XIGJ70674716956860,Jonathan Hickman,Simpson PLC Bank,Finland,High,0,False,2024-04-14 17:09:34.309760
BENE_ff1c4de272364c65a38f74f16f79c4dd,GB69IEDK67398526082300,Todd Tucker,Turner-Cruz Bank,Luxembourg,High,1,False,2025-01-07 17:09:34.309760
BENE_4ee6b0d391994d62af7fd0af742845ca,GB86MDJE42146651882222,Christopher Baker,Jones-Davidson Bank,Portugal,High,0,False,2024-07-09 17:09:34.309760
BENE_941cbe910fd6431eb34ebe4c75231bab,GB24YSUL22541709408432,Kevin Johnson,Haynes LLC Bank,Rwanda,Low,0,False,2023-11-21 17:09:34.310824
BENE_d650d2f3e4094d09a358590c2fad86bb,GB61YHCT53192106842658,Scott Garrett,Gregory Group Bank,Zambia,Medium,0,False,2023-11-04 17:09:34.310824
BENE_eac6300aefae4833a581a465621b4143,GB59RBLW30430041195695,Marvin Mendoza,"Johnson, Nguyen and Perry Bank",Netherlands Antilles,Medium,1,False,2024-06-01 17:09:34.310824
BENE_0bb903bb94694fa194cac12d7e1ea911,GB92GVJD66720170760172,Keith Macdonald,Good-Williams Bank,Australia,Low,1,False,2024-07-19 17:09:34.310824
BENE_bfcc10a272c54a52956aa97177874975,GB63BODH46825801941667,Michael Reed,Pitts-Gould Bank,Costa Rica,High,0,False,2025-02-04 17:09:34.311839
BENE_41930ddbe02d4f5293cced3914af29c4,GB39SGQA20761561176546,Carolyn Brooks,Lang LLC Bank,Sierra Leone,Medium,0,False,2025-10-08 17:09:34.311839
BENE_8fc6e92d52f84563bfb9c25fe0aa2caf,GB50YIPA11548908815578,Timothy May,Riggs and Sons Bank,Moldova,Low,1,False,2024-01-09 17:09:34.311839
BENE_82b77773565c4babb58d632f91350491,GB98JNLW86409405222462,Chase Johnson,"Stone, Fisher and Taylor Bank",United States Virgin Islands,High,1,False,2024-03-05 17:09:34.311839
BENE_aed1da7c31c4426c8a7a630ee6c5ccb4,GB95YJYU90860137428701,John Cooper,Rose PLC Bank,South Georgia and the South Sandwich Islands,Low,0,False,2024-03-14 17:09:34.312840
BENE_50d46878e51b4b64be0b95ca70127fc1,GB39DSNS14084364550732,Jodi Elliott,"Lang, Boyd and Boyer Bank",Kazakhstan,High,0,False,2025-06-13 17:09:34.312840
