customer_id,customer_name,email,phone_number,account_number,date_of_birth,gender,account_type,account_open_date,account_age_days,nationality,country,city,address,occupation,annual_income,kyc_status,customer_risk_rating,previous_fraud_flag,fraud_incident_count,created_at,updated_at
CUST_e90b09af8cc44a618aec6ba2d658abd0,Derek Wright,bellkristin@example.net,0676267658617,GB05ZSUY32710405411526,1956-05-23,Prefer not to say,Checking,2024-04-18,784,Saint Martin,Belarus,West Brookefort,"296 Brian Isle Apt. 368, Donnaport, IA 13072",Artist,160604.33,Verified,Medium,False,0,2024-04-18 17:09:32.621883,2026-06-10 17:09:32.621883
CUST_5e1bcb660c3147039ddc771fd644a079,Sara Hernandez,adam14@example.net,3103241714677,GB08VICU86256527047743,2002-05-28,Female,Business,2024-10-12,607,Ethiopia,Mongolia,East Karenville,"693 Mary Viaduct Suite 879, South Kent, MO 94126",Animal nutritionist,231691.54,Verified,Low,False,0,2024-10-12 17:09:32.622888,2026-05-27 17:09:32.622888
CUST_237fd17e74fd431ca1d96e7df88c3410,Kellie Duncan,davidtodd@example.org,3320616329451,GB92CMRM85487099861622,1983-12-31,Other,Premium,2025-09-16,268,Namibia,Myanmar,North Annaville,"4679 Johnson Harbor Suite 299, Williamsmouth, UT 31640",Artist,22842.85,Failed,Medium,False,0,2025-09-16 17:09:32.622888,2026-05-23 17:09:32.622888
CUST_b3695898bf3c4d9ab137f81e0580ae86,Stephanie Smith,larry71@example.org,4754691373678,GB80LBQZ21486289023303,1947-09-10,Female,Premium,2025-06-25,351,Korea,Australia,Janetview,"610 Nathan Ranch Suite 279, Maxview, WA 90790",Chemical engineer,139392.93,Failed,Low,False,0,2025-06-25 17:09:32.623880,2026-05-28 17:09:32.623880
CUST_ed95322f7627434990e10ee544bf850b,Anthony Nash,mercedesholland@example.net,4680072290349,GB95ZJWW46657437489691,1945-12-10,Female,Business,2023-11-12,942,Malawi,Panama,Annaport,"1545 Green Station, Jacobhaven, WV 31997",Barista,99522.38,Pending,Low,False,0,2023-11-12 17:09:32.623880,2026-05-15 17:09:32.624920
CUST_d553290381cf4e798d43bf9474d78bf2,Melanie Griffith,qbright@example.com,6099353875842,GB04VRFJ17248251353465,1970-09-26,Male,Savings,2024-11-16,572,Eritrea,Myanmar,Stevenville,"3816 Gutierrez Ways, East Victoria, MA 54134","Teacher, early years/pre",167981.7,Verified,Medium,False,0,2024-11-16 17:09:32.624920,2026-05-14 17:09:32.624920
CUST_1c4e5597860a4540b33300927cc7d9cb,Scott White,freemancrystal@example.org,0074329271296,GB77UNMN76008350583003,1960-11-02,Prefer not to say,Checking,2025-05-01,406,Puerto Rico,Turkey,Larryville,"10447 Hamilton Spur Apt. 575, East Stacy, PW 53374",Advertising account executive,37219.01,Pending,Low,False,0,2025-05-01 17:09:32.625925,2026-06-03 17:09:32.625925
CUST_12bba7304d2e4224860698316231c6ad,William Clark,lawrencegary@example.com,6489090100167,GB38MDRI72304618499261,1980-04-03,Other,Savings,2023-05-20,1118,Saint Helena,Niger,West Danielville,"8356 Martin Plaza, Lozanofort, MA 31238","Accountant, chartered",136593.75,Failed,Medium,False,0,2023-05-20 17:09:32.626888,2026-05-29 17:09:32.626888
CUST_accc66c14abd428da7a7bff7cbc7eef9,Susan Conley,fhernandez@example.net,1437447012045,GB63ZVKN11002255794155,1957-11-20,Female,Savings,2021-07-19,1788,Brazil,Iran,Riversview,"2120 Dale Ramp Suite 972, Maxwelltown, VI 90215","Conservator, furniture",125591.76,Failed,Low,False,0,2021-07-19 17:09:32.626888,2026-06-08 17:09:32.626888
CUST_27bf174de60d48d7b1b4ee502f6743a0,Ashley Jenkins,browndiana@example.org,5889163756289,GB90BAUF87721753540838,1989-03-21,Prefer not to say,Premium,2025-07-19,327,Honduras,Iraq,North Stephen,"77517 Curtis Loop Apt. 880, Port Cassandraport, FM 67129","Surveyor, planning and development",47302.58,Pending,Medium,False,0,2025-07-19 17:09:32.627888,2026-05-21 17:09:32.627888
