entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SANC_253f82390f904438b5226f94bb52690e,Wagner Inc,Individual,Syria,UN,Narcotics,Current practice nation determine operation speak according.,High,True,True,True,REG-2025-189,2023-11-27,2024-12-28,Active,2026-02-16 17:09:32.539539,2026-05-30 17:09:32.539539
SANC_bc711885e6ad4a1fb7dfc1857d371944,Jay Ramirez,Vessel,Bermuda,OFAC,Narcotics,Whatever from behavior benefit suggest.,Critical,True,False,True,REG-2025-384,2025-02-25,2026-03-03,Active,2025-02-08 17:09:32.540060,2026-05-21 17:09:32.540060
SANC_7588c1ba8ca94303b7bd30178537350d,Roman-Blair,Organization,Saint Pierre and Miquelon,EU,Narcotics,By two bad fall pick those gun.,Critical,True,True,True,REG-2024-199,2024-09-21,2026-09-08,Active,2025-04-28 17:09:32.540060,2026-05-08 17:09:32.540060
SANC_5a47a16e13bf45228b89863bd83d330f,"Jones, Stanley and Mejia",Vessel,Benin,OFAC,Regime Sanctions,Talk term herself law.,High,False,False,True,REG-2025-296,2023-11-07,2024-12-22,Active,2025-03-30 17:09:32.540605,2026-05-12 17:09:32.540605
SANC_abf9923d7483422c83b2a46e4da1ceb6,Martin-Kelly,Individual,Burundi,OFAC,Regime Sanctions,Reduce raise author play move.,Critical,False,False,True,REG-2022-479,2025-03-19,2028-02-03,Active,2025-10-18 17:09:32.540605,2026-03-13 17:09:32.540605
SANC_028e535c19af4013bd8042517e0e2dc9,Ford LLC,Vessel,Anguilla,EU,Narcotics,Detail food shoulder argue start source husband.,High,False,False,True,REG-2023-755,2023-12-18,2025-07-29,Active,2025-03-18 17:09:32.540605,2026-04-30 17:09:32.540605
SANC_c5972d4dffa943c585149348b6687c3c,Gentry PLC,Individual,Burundi,OFAC,Cyber Crime,Defense material those poor central cause.,Critical,False,True,True,REG-2022-680,2023-08-01,2025-06-18,Active,2025-11-15 17:09:32.541155,2026-03-19 17:09:32.541155
SANC_0d5041cddb7a4e7aae0f7e881bfb9b7b,Deborah Richards,Vessel,Benin,EU,Cyber Crime,Human despite young meeting before another body physical.,High,True,False,True,REG-2025-538,2025-01-09,2027-02-21,Active,2025-08-30 17:09:32.541155,2026-05-13 17:09:32.541155
SANC_ab942e283eeb4b7294a33524e62b631e,"Henderson, Brown and James",Individual,Jamaica,UKHM,Terrorism Financing,More wife team activity result race Mr.,High,True,True,True,REG-2022-911,2025-02-15,2027-10-18,Active,2026-01-30 17:09:32.541155,2026-04-22 17:09:32.541155
SANC_cf08dd7a7d684562ad93bf83f4929235,Gina Carter,Organization,Jamaica,UN,Terrorism Financing,Law west then enjoy.,High,False,False,True,REG-2021-400,2024-01-04,2026-04-12,Active,2026-03-02 17:09:32.541729,2026-03-10 17:09:32.541729
SANC_ce4eecbf7e6847e782d041dcfcdf3e5e,Romero Inc,Organization,Jamaica,EU,Terrorism Financing,Fear police participant check several much single morning.,Critical,True,True,True,REG-2023-880,2024-07-03,,Active,2025-01-29 17:09:32.541729,2026-04-04 17:09:32.541729
SANC_39bac787005141c383e6ad7bc50f8b7b,"Nguyen, Smith and Hickman",Vessel,Philippines,UKHM,Terrorism Financing,Dream drive note bad rule.,High,False,False,True,REG-2022-159,2023-06-11,,Active,2025-05-17 17:09:32.541729,2026-05-31 17:09:32.541729
SANC_4c83492dc7244f529d0266ff5f348c40,Philip Cannon,Organization,Anguilla,EU,Narcotics,Process water close month.,Critical,True,False,True,REG-2025-993,2025-03-05,2026-10-07,Active,2025-05-31 17:09:32.542266,2026-03-06 17:09:32.542266
SANC_587e0166e5e249de906f4ebdb3b2ccaf,Brandt-Hickman,Individual,Russia,UN,Regime Sanctions,Require human public health tonight.,Critical,False,False,True,REG-2021-353,2024-09-24,,Active,2025-09-11 17:09:32.542266,2026-06-08 17:09:32.542266
